,#source,ID,description
1909711,bigg.metabolite:Nmtrp,MNXM733784,N-Methyltryptophan
1909872,bigg.metabolite:amob,MNXM733831,S-Adenosyl-4-methylthio-2-oxobutanoate
1910111,bigg.metabolite:op4en,MNXM733877,2-Oxopent-4-enoate
1910361,bigg.metabolite:eca2und,MNXM733908,(enterobacterial common antigen)x2 undecaprenyl-diphosphate
1910369,bigg.metabolite:eca4und,MNXM733910,(enterobacterial common antigen)x4 undecaprenyl-diphosphate
1910379,bigg.metabolite:23cgmp,MNXM733912,"2',3'-Cyclic GMP"
1910428,bigg.metabolite:pe180,MNXM733922,"Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)"
1910978,bigg.metabolite:23dhmb,MNXM734,"(R)-2,3-Dihydroxy-3-methylbutanoate"
1911199,bigg.metabolite:pg160,MNXM734041,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)"
1911224,bigg.metabolite:pgp160,MNXM734044,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)"
1911241,bigg.metabolite:ps160,MNXM734047,"Phosphatidylserine (dihexadecanoyl, n-C16:0)"
1911367,bigg.metabolite:anhm3p,MNXM734072,"1,6-anhydrous-N-Acetylmuramyl-tripeptide"
1911393,bigg.metabolite:6pgc,MNXM734080,6-Phospho-D-gluconate
1912125,bigg.metabolite:1odecg3p,MNXM734212,1-octadecanoyl-sn-glycerol 3-phosphate
1912498,bigg.metabolite:tyrp,MNXM734272,Phosphotyrosine
1912623,bigg.metabolite:ethso3,MNXM7343,Ethanesulfonate
1913837,bigg.metabolite:1agpg140,MNXM734523,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
1913838,bigg.metabolite:1tdecg3p,MNXM734523,1-tetradecanoyl-sn-glycerol 3-phosphate
1914081,bigg.metabolite:man6pglyc,MNXM734566,2(alpha-D-Mannosyl-6-phosphate)-D-glycerate
1914151,bigg.metabolite:xyl__D,MNXM734574,D-Xylose
1914265,bigg.metabolite:gcald,MNXM734590,Glycolaldehyde
1915081,bigg.metabolite:cu,MNXM734750,Cu+
1915734,bigg.metabolite:arab__L,MNXM734859,L-Arabinose
1915779,bigg.metabolite:pnto__R,MNXM734864,(R)-Pantothenate
1915835,bigg.metabolite:kdo,MNXM734869,3-Deoxy-D-manno-2-octulosonate
1916563,bigg.metabolite:doxrbcn,MNXM735003,Doxorubicin
1916744,bigg.metabolite:acolipa,MNXM735042,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A
1916772,bigg.metabolite:dadp,MNXM735047,DADP
1916862,bigg.metabolite:aconm,MNXM735058,E-3-carboxy-2-pentenedioate 6-methyl ester
1917142,bigg.metabolite:indole,MNXM735090,Indole
1918672,bigg.metabolite:all6p,MNXM735357,D-Allose 6-phosphate
1919087,bigg.metabolite:o2,MNXM735438,O2
1919367,bigg.metabolite:apg120,MNXM735474,Acyl phosphatidylglycerol (n-C12:0)
1919375,bigg.metabolite:apg140,MNXM735476,Acyl phosphatidylglycerol (n-C14:0)
1919383,bigg.metabolite:apg160,MNXM735478,Acyl phosphatidylglycerol (n-C16:0)
1919395,bigg.metabolite:apg180,MNXM735480,Acyl phosphatidylglycerol (n-C18:0)
1920002,bigg.metabolite:cholate,MNXM735592,Cholate c
1920158,bigg.metabolite:cpppg3,MNXM735625,Coproporphyrinogen III
1920346,bigg.metabolite:glucys,MNXM735669,Gamma-L-Glutamyl-L-cysteine
1920490,bigg.metabolite:rbl__D,MNXM735687,D-Ribulose
1920915,bigg.metabolite:4ppan,MNXM735771,D-4'-Phosphopantothenate
1921965,bigg.metabolite:cl,MNXM735978,Chloride
1922138,bigg.metabolite:3dhguln,MNXM736,3-Dehydro-L-gulonate
1922535,bigg.metabolite:tmao,MNXM736072,Trimethylamine N-oxide
1922711,bigg.metabolite:cinnm,MNXM736095,Trans-Cinnamate
1922929,bigg.metabolite:5drib,MNXM736134,5'-deoxyribose
1923402,bigg.metabolite:galur,MNXM736226,D-Galacturonate
1923838,bigg.metabolite:clpn161,MNXM736306,"Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)"
1923864,bigg.metabolite:clpn181,MNXM736311,"Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)"
1923880,bigg.metabolite:cdpdhdec9eg,MNXM736316,"CDP-1,2-dihexadec-9-enoylglycerol"
1923890,bigg.metabolite:cdpdodec11eg,MNXM736319,"CDP-1,2-dioctadec-11-enoylglycerol"
1923900,bigg.metabolite:cdpdtdec7eg,MNXM736325,"CDP-1,2-ditetradec-7-enoylglycerol"
1923908,bigg.metabolite:cdpdtdecg,MNXM736328,"CDP-1,2-ditetradecanoylglycerol"
1923994,bigg.metabolite:cm,MNXM736341,Chloramphenicol
1924371,bigg.metabolite:fald,MNXM736417,Formaldehyde
1924425,bigg.metabolite:clpn160,MNXM736425,"Cardiolipin (tetrahexadecanoyl, n-C16:0)"
1924575,bigg.metabolite:cdpdodecg,MNXM736453,"CDP-1,2-dioctadecanoylglycerol"
1925609,bigg.metabolite:dgmp,MNXM736654,DGMP
1925778,bigg.metabolite:sbt__D,MNXM736685,D-Sorbitol
1926322,bigg.metabolite:quin,MNXM736788,Quinate
1926769,bigg.metabolite:3dhq,MNXM736874,3-Dehydroquinate
1927146,bigg.metabolite:cpe160,MNXM736944,"Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
1927159,bigg.metabolite:cpe180,MNXM736947,"Cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)"
1927186,bigg.metabolite:cpg160,MNXM736952,"Cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
1927197,bigg.metabolite:cpg180,MNXM736955,"Cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)"
1927998,bigg.metabolite:4r5au,MNXM737103,4-(1-D-Ribitylamino)-5-aminouracil
1928871,bigg.metabolite:pac,MNXM737265,Phenylacetic acid
1929100,bigg.metabolite:cdg,MNXM737298,7-deaza-7-carboxyguanine
1929180,bigg.metabolite:pphn,MNXM737312,Prephenate
1929342,bigg.metabolite:fum,MNXM737340,Fumarate
1929564,bigg.metabolite:5aizc,MNXM737371,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
1929773,bigg.metabolite:pa140,MNXM737414,"1,2-ditetradecanoyl-sn-glycerol 3-phosphate"
1929794,bigg.metabolite:pg140,MNXM737417,"Phosphatidylglycerol (ditetradecanoyl, n-C14:0)"
1930052,bigg.metabolite:halipa,MNXM737466,Hepta-acylated KDO(2)-lipid (A)
1930185,bigg.metabolite:pa180,MNXM737489,"1,2-dioctadecanoyl-sn-glycerol 3-phosphate"
1930208,bigg.metabolite:pg180,MNXM737492,"Phosphatidylglycerol (dioctadecanoyl, n-C18:0)"
1931622,bigg.metabolite:ser__L,MNXM737787,L-Serine
1931794,bigg.metabolite:murein4px4p,MNXM737824,"Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
1932030,bigg.metabolite:ckdo,MNXM737872,CMP-3-deoxy-D-manno-octulosonate
1932308,bigg.metabolite:mi1p__D,MNXM737935,1D-myo-Inositol 1-phosphate
1932409,bigg.metabolite:anhm4p,MNXM737948,"1,6-anhydrous-N-Acetylmuramyl-tetrapeptide"
1932521,bigg.metabolite:gfgaragund,MNXM737969,Galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
1932538,bigg.metabolite:gagicolipa,MNXM737974,Galactosyl-glucosyl-inner core oligosaccharide lipid A
1932646,bigg.metabolite:tartr__L,MNXM737997,L-tartrate
1932940,bigg.metabolite:cys__L,MNXM738068,L-Cysteine
1933114,bigg.metabolite:ggagicolipa,MNXM738093,Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A
1933122,bigg.metabolite:gggagicolipa,MNXM738096,Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A
1933130,bigg.metabolite:gicolipa,MNXM738099,Glucosyl-inner core oligosaccharide lipid A
1933151,bigg.metabolite:garagund,MNXM738102,Glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
1933263,bigg.metabolite:glycogen,MNXM738130,Glycogen
1933539,bigg.metabolite:dhmptp,MNXM738182,Dihydromonapterin-triphosphate
1933815,bigg.metabolite:forcoa,MNXM738242,Formyl-CoA(4-)
1934433,bigg.metabolite:icolipa,MNXM738373,Inner core oligosaccharide lipid A (E coli)
1934518,bigg.metabolite:bbtcoa,MNXM738399,Gamma-butyrobetainyl-CoA
1934565,bigg.metabolite:fe3hox,MNXM738412,Fe(III)hydroxamate
1934655,bigg.metabolite:n2o,MNXM738430,Nitrous oxide
1935298,bigg.metabolite:kdo2lipid4p,MNXM738560,KDO(2)-lipid IV(A) with palmitoleoyl
1935728,bigg.metabolite:murein5p4p,MNXM738657,"Two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)"
1935758,bigg.metabolite:murein5p3p,MNXM738663,"Two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
1935942,bigg.metabolite:nadph,MNXM738702,Nicotinamide adenine dinucleotide phosphate - reduced
1936085,bigg.metabolite:lipa_cold,MNXM738728,Cold adapted KDO(2)-lipid (A)
1936518,bigg.metabolite:met__L,MNXM738804,L-Methionine
1936677,bigg.metabolite:alltn,MNXM738834,Allantoin
1937553,bigg.metabolite:anhgm4p,MNXM739017,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide
1938536,bigg.metabolite:o16aund,MNXM739235,O16 antigen undecaprenyl diphosphate
1938575,bigg.metabolite:eca3und,MNXM739243,(enterobacterial common antigen)x3 undecaprenyl-diphosphate
1938707,bigg.metabolite:aso3,MNXM739275,Arsenite
1938819,bigg.metabolite:1agpg180,MNXM739301,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
1939097,bigg.metabolite:dscl,MNXM739346,Dihydrosirohydrochlorin
1940109,bigg.metabolite:arg__L,MNXM739527,L-Arginine
1940500,bigg.metabolite:pe161,MNXM739592,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)"
1940793,bigg.metabolite:gmhep7p,MNXM739658,D-Glycero-D-manno-heptose 7-phosphate
1940866,bigg.metabolite:kdo8p,MNXM739664,3-Deoxy-D-manno-octulosonate 8-phosphate
1940892,bigg.metabolite:uaagmda,MNXM739668,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala"
1942344,bigg.metabolite:1agpg181,MNXM739929,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
1942417,bigg.metabolite:g3p,MNXM739945,Glyceraldehyde 3-phosphate
1942564,bigg.metabolite:progly,MNXM739962,L-Prolinylglycine
1942701,bigg.metabolite:pg161,MNXM739991,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)"
1942712,bigg.metabolite:pgp161,MNXM739994,"Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)"
1942718,bigg.metabolite:pgp180,MNXM739997,"Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)"
1942737,bigg.metabolite:ps180,MNXM740000,"Phosphatidylserine (dioctadecanoyl, n-C18:0)"
1943083,bigg.metabolite:tcynt,MNXM740078,Thiocyanate
1943808,bigg.metabolite:murein5p5p5p,MNXM740231,"Three linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)"
1944699,bigg.metabolite:rfamp,MNXM740424,Rifampin
1946237,bigg.metabolite:clpn140,MNXM740794,"Cardiolipin (tetratetradecanoyl, n-C14:0)"
1946564,bigg.metabolite:scl,MNXM740871,Sirohydrochlorin
1947017,bigg.metabolite:r15bp,MNXM740983,"D-Ribose 1,5-bisphosphate"
1947144,bigg.metabolite:tungs,MNXM741004,Tungstate
1947185,bigg.metabolite:murein5p5p,MNXM741014,"Two linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)"
1947191,bigg.metabolite:murein4p3p,MNXM741016,"Two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
1947199,bigg.metabolite:murein4p4p,MNXM741019,"Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)"
1947207,bigg.metabolite:murein3p3p,MNXM741021,"Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)"
1947282,bigg.metabolite:uLa4fn,MNXM741041,Undecaprenyl phosphate-4-amino-4-formyl-L-arabinose
1947637,bigg.metabolite:3c2hmp,MNXM741109,3-Carboxy-2-hydroxy-4-methylpentanoate
1948006,bigg.metabolite:glu__L,MNXM741173,L-Glutamate
1948068,bigg.metabolite:orn,MNXM741175,Ornithine
1948491,bigg.metabolite:2mcit,MNXM741276,2-Methylcitrate
1949032,bigg.metabolite:23dappa,MNXM741395,"2,3-diaminopropionate"
1949488,bigg.metabolite:seln,MNXM741486,Selenide
1949780,bigg.metabolite:trp__L,MNXM741553,L-Tryptophan
1950037,bigg.metabolite:Sfglutth,MNXM741595,S-Formylglutathione
1950145,bigg.metabolite:uamag,MNXM741611,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
1950243,bigg.metabolite:23doguln,MNXM741619,"2,3-Dioxo-L-gulonate"
1950464,bigg.metabolite:phe__L,MNXM741664,L-Phenylalanine
1950609,bigg.metabolite:g3ps,MNXM741693,Glycerophosphoserine
1951691,bigg.metabolite:cbm,MNXM742,Carbamate
1961358,bigg.metabolite:dmso,MNXM745,Dimethyl sulfoxide
1975967,bigg.metabolite:acald,MNXM75,Acetaldehyde
1976006,bigg.metabolite:octa,MNXM750,Octanoate (n-C8:0)
1979140,bigg.metabolite:phhlipa,MNXM75132,Phospho-heptosyl-heptosyl-kdo2-lipidA
1979168,bigg.metabolite:phphhlipa,MNXM75133,Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
1997341,bigg.metabolite:phthr,MNXM759,O-Phospho-4-hydroxy-L-threonine
1999423,bigg.metabolite:tyr__L,MNXM76,L-Tyrosine
2001628,bigg.metabolite:csn,MNXM761,Cytosine
2011954,bigg.metabolite:ps120,MNXM7659,"Phosphatidylserine (didodecanoyl, n-C12:0)"
2012162,bigg.metabolite:ps161,MNXM7660,"Phosphatidylserine (dihexadec-9-enoyl, n-C16:1)"
2012569,bigg.metabolite:ps181,MNXM7662,"Phosphatidylserine (dioctadec-11-enoyl, n-C18:1)"
2012917,bigg.metabolite:ps141,MNXM7664,"Phosphatidylserine (ditetradec-7-enoyl, n-C14:1)"
2013156,bigg.metabolite:ps140,MNXM7665,"Phosphatidylserine (ditetradecanoyl, n-C14:0)"
2020820,bigg.metabolite:dhap,MNXM77,Dihydroxyacetone phosphate
2066415,bigg.metabolite:tartr__D,MNXM7948,D-tartrate
2072749,bigg.metabolite:ichor,MNXM799,Isochorismate
2074106,bigg.metabolite:nad,MNXM8,Nicotinamide adenine dinucleotide
2083768,bigg.metabolite:23dhdp,MNXM807,"2,3-Dihydrodipicolinate"
2084576,bigg.metabolite:ragund,MNXM80754,Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
2089629,bigg.metabolite:octdp,MNXM811,All-trans-Octaprenyl diphosphate
2101599,bigg.metabolite:acorn,MNXM817,N2-Acetyl-L-ornithine
2110708,bigg.metabolite:suchms,MNXM820,O-Succinyl-L-homoserine
2113007,bigg.metabolite:ppal,MNXM821,Propanal
2124855,bigg.metabolite:dhpppn,MNXM826,"3-(2,3-Dihydroxyphenyl)propanoate"
2129577,bigg.metabolite:4crsol,MNXM828,P-Cresol
2134407,bigg.metabolite:ipdp,MNXM83,Isopentenyl diphosphate
2145877,bigg.metabolite:bglycogen,MNXM8348,Branching glycogen
2190934,bigg.metabolite:5dh4dglc,MNXM854,5-Dehydro-4-deoxy-D-glucarate
2232484,bigg.metabolite:murein5px4px4p,MNXM87121,Three disacharide linked murein units (pentapeptide crosslinked tetrapeptide (A2pm->D-ala) tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)
2232512,bigg.metabolite:murein4px4p4p,MNXM87122,"Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala), one uncrosslinked tetrapaptide) (middle of chain)"
2234395,bigg.metabolite:3hpp,MNXM872,3-Hydroxypropanoate
2260729,bigg.metabolite:enter,MNXM883,Enterochelin
2261647,bigg.metabolite:murein5px4p,MNXM88338,"Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
2261721,bigg.metabolite:murein3px4p,MNXM88341,"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
2261749,bigg.metabolite:murein3px3p,MNXM88342,"Two disacharide linked murein units, tripeptide crosslinked tripeptide (A2pm->A2pm) (middle of chain)"
2291892,bigg.metabolite:glyc,MNXM89612,Glycerol
2292941,bigg.metabolite:icit,MNXM89661,Isocitrate
2299937,bigg.metabolite:pi,MNXM9,Phosphate
2300019,bigg.metabolite:chol,MNXM90,Choline
2302098,bigg.metabolite:ru5p__L,MNXM901,L-Ribulose 5-phosphate
2302661,bigg.metabolite:mnl1p,MNXM90126,D-Mannitol 1-phosphate
2302925,bigg.metabolite:2dh3dgal6p,MNXM90136,2-Dehydro-3-deoxy-D-galactonate 6-phosphate
2304104,bigg.metabolite:12ppd__R,MNXM90191,"(R)-Propane-1,2-diol"
2309397,bigg.metabolite:2ombzl,MNXM90444,"2-Octaprenyl-6-methoxy-1,4-benzoquinol"
2310745,bigg.metabolite:pa120,MNXM90509,"1,2-didodecanoyl-sn-glycerol 3-phosphate"
2310777,bigg.metabolite:pa161,MNXM90510,"1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate"
2310803,bigg.metabolite:pa181,MNXM90511,"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate"
2310829,bigg.metabolite:pa141,MNXM90512,"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate"
2312317,bigg.metabolite:anhm,MNXM90585,"1,6-anhydrous-N-Acetylmuramate"
2319000,bigg.metabolite:uLa4n,MNXM90891,Undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose
2319187,bigg.metabolite:lald__D,MNXM909,D-Lactaldehyde
2320447,bigg.metabolite:cobalt2,MNXM90960,Co2+
2322459,bigg.metabolite:1tdec7eg3p,MNXM91053,1-tetradec-7-enoyl-sn-glycerol 3-phosphate
2357108,bigg.metabolite:cysi__L,MNXM927,L Cystine
2373725,bigg.metabolite:din,MNXM935,Deoxyinosine
2375850,bigg.metabolite:25dkglcn,MNXM936,"2,5-diketo-D-gluconate"
2385672,bigg.metabolite:mdhdhf,MNXM9407,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
2390514,bigg.metabolite:15dap,MNXM943,"1,5-Diaminopentane"
2405124,bigg.metabolite:k,MNXM95,Potassium
2422969,bigg.metabolite:1agpe181,MNXM9584,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
2424210,bigg.metabolite:2dhp,MNXM959,2-Dehydropantoate
2426304,bigg.metabolite:4mpetz,MNXM960,4-Methyl-5-(2-phosphoethyl)-thiazole
2430682,bigg.metabolite:4mhetz,MNXM962,4-Methyl-5-(2-hydroxyethyl)-thiazole
2432841,bigg.metabolite:5dglcn,MNXM963,5-Dehydro-D-gluconate
2447557,bigg.metabolite:aso4,MNXM970,Arsenate
2461676,bigg.metabolite:ttrcyc,MNXM97613,Tetracycline
2514003,bigg.metabolite:h2o,WATER,H2O
