BiGG,MNXM,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,SMR_VSA1,SlogP_VSA2,SlogP_VSA3,TPSA,FractionCSP3,HeavyAtomCount,NOCount,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolLogP,MolMR,target,MolLogP_rank,mass_rank
M_pyr_c,MNXM23,-0.4799101755164699,0.6602039099931152,-0.4799101755164699,0.7869657639245555,0.4310564641077183,-0.6999702525014949,-0.7032825491214768,-0.6999993299020318,-0.6744373742516535,-0.3855235823897975,0.1931934416116267,-0.4020430422351399,-0.5789288304690253,0.0570289244736729,0.0463392587591881,0.0331746886996857,-0.7755644740176036,0.2742348260717296,-0.4351280646579258,0.3975975163859179,-0.8297105781043573,-0.0978945860185157,-0.0289470213887554,-0.2342760169336874,0.7749987318707066,-0.6488378045918848,-0.6662009566198442,-0.6581875565259823,-0.6848211444099048,-0.6775384008622582,-0.6582744626796831,-0.7137368696019781,-0.6617636697503059,-0.7269475961198831,-0.6606975000244615,-0.7277494010710949,-0.657367232816798,-0.7300791438281229,0.4089251161714127,-0.0328112559697906,-0.6186465203398595,-0.6159082502123183,-0.0821197657740937,-0.6809542983552417,-0.6210209222712612,-0.5918398615631625,-0.5783507532675242,-0.4814630468863801,-0.6696627783677856,-0.9800644028522192,-0.6776893599944868,-0.6700441177859506,-0.6463849468298651,-0.7097755765162295,-0.6194187753931578,-0.2136166150267464,-0.6882203670298392,M_accoa_c,11.0,1.0
M_accoa_c,MNXM1104266,0.7526764216063472,-1.1508252062417546,0.7526764216063472,-0.5917351203058232,-1.2646801132794954,0.5486976345182395,0.5887478313813627,0.5487169943009513,0.444563681313569,0.2766972106716485,-0.6679198050228472,0.3565523701790346,0.6236176079482132,0.0450868185347277,0.0508543685627528,0.0589586712409145,0.970529889263992,0.0398827184443862,0.6240116096014131,-0.4850294870235094,0.798892739710131,-0.3846066499000397,0.9786386123174436,-0.3566128614328618,-0.9041936265584838,0.6993442176348194,0.475143008085625,0.3704792786328593,0.4724711236061278,0.4397921582939665,0.2726054531264556,0.5311003240209983,0.3207022661550538,0.6666631263076923,0.2229885812478624,0.5996933255019979,0.1831801995853176,0.6377420941403451,-0.3560808220705889,-0.0328112559697906,0.3527948534621009,0.1486170066052299,-0.0508617951868522,0.4449039141011714,0.5129416923952992,0.5390542013984635,0.3638349849495336,0.658386987461627,0.809560038955278,0.1111727140267342,0.465466280930429,0.8591627656341239,0.9858917118751568,1.02661777828798,0.2699214923667193,-0.5240855826179853,0.3959317150081285,M_cit_c,6.0,10.0
M_akg_c,MNXM20,-0.2362593099077879,0.5606669521455756,-0.2362593099077879,0.2389117870848109,0.5833070188887776,-0.6008612404861052,-0.5979639986273744,-0.6008825138109842,-0.5775160229822247,-0.378065146098507,0.1704966911194176,-0.3820484005693758,-0.565384834127882,0.0405681838551267,0.0408566254262881,0.0375579657316946,-0.775329031257984,0.1704088923253703,-0.1772470208678359,0.1441325917931259,-0.3542072024958633,-0.1667302961387576,-0.0213851888999514,-0.2504562171702377,0.8059973158725834,-0.5689285174219683,-0.5633839043017013,-0.5829603179314159,-0.6110908398745789,-0.576167482148436,-0.5785055453743337,-0.6384949426538458,-0.5917958943622142,-0.6617560279367903,-0.5920947979949914,-0.6635921689500084,-0.5939805549339677,-0.6720875442810791,0.1523092001788428,-0.0328112559697906,-0.529535961075695,-0.5179750615718205,-0.0762785336518553,-0.5863789375504351,-0.4327763723586479,-0.4232414350983897,-0.5227477589106342,-0.3080757624228115,-0.4868610302719074,-0.7518966420502561,-0.5760755252456053,-0.5244053669840388,-0.4831572809593629,-0.5708641081318927,-0.4711953974331783,-0.4992212262755444,-0.6268048851162693,M_succoa_c,7.0,6.0
M_oaa_c,MNXM46,-0.3252462844023669,0.4998243614291199,-0.3252462844023669,1.064418089699677,0.0677793435709933,-0.6252387762850088,-0.6205448824186036,-0.6252549771568776,-0.6039491187829781,-0.3667888315390473,0.1717899774994662,-0.3831877177482453,-0.5449078390621404,0.0442261262148037,0.0426841698705881,0.0331746886996857,-0.7748686328553189,0.1994815385504276,-0.1813761139058211,0.1607761990312758,-0.5172908750140597,-0.2234230134949724,-0.005843582685961,-0.2598483225072316,0.962694317360484,-0.5790638708798895,-0.5876864560803785,-0.6136954995249697,-0.6412144273035205,-0.6029307124243004,-0.6142649727230227,-0.6722249757440237,-0.6223984097578277,-0.6902695251563521,-0.6268234235453384,-0.6960703720639728,-0.6168069792859124,-0.6929711258840744,0.1523092001788428,-0.0328112559697906,-0.5552162375206992,-0.5558133472526544,-0.0773107024879868,-0.6141377076269185,-0.4327763723586479,-0.4232414350983897,-0.5227477589106342,-0.3080757624228115,-0.4868610302719074,-1.2652741038546729,-0.6014789839328257,-0.5244053669840388,-0.4831572809593629,-0.5708641081318927,-0.5206031900865048,-0.5740060019824557,-0.6599034353666431,M_cit_c,5.0,4.0
M_succ_c,MNXM25,-0.4719376201768969,0.7739261347982234,-0.4719376201768969,0.098472955519626,0.6519314442271734,-0.6495398444447057,-0.6506232738744256,-0.6495641680568977,-0.6215711826501469,-0.6732133981965461,0.1704930189301583,-0.3820451655640656,-1.1013533254292975,0.0405681838551267,0.0326326754269381,0.0235862701921662,-0.7758780479142271,0.2110122202933037,-0.4403989607937333,0.1502487448326822,-0.4419336559010457,-0.0757351754450285,-0.3462934887771789,-0.2740831350495155,0.446879822533706,-0.6322097773900257,-0.61759585306249,-0.622438338623848,-0.6497832941303059,-0.6249131520739875,-0.6109839841317473,-0.6691301875452894,-0.623856662285932,-0.6916282330556212,-0.6267290752423571,-0.6959821375514021,-0.616635168006142,-0.6928139381079216,0.3120889214572354,-0.0328112559697906,-0.5724220227388519,-0.546118048007969,-0.0725887389178888,-0.6322869276931988,-0.4327763723586479,-0.5048843148532591,-0.5766176349858744,-0.4814630468863801,-0.5646189629904881,-0.4096450008473117,-0.6268824426200461,-0.5972247423849947,-0.564771113894614,-0.640319842324061,-0.5206031900865048,-0.4166148180414813,-0.6626992843156675,M_fum_c,10.0,3.0
M_pep_c,MNXM73,-0.4152091144004021,-0.9242977452245305,-0.4152091144004021,1.200289804791197,-0.1407637179919632,-0.5644782853317569,-0.5548157292166255,-0.5644453717151415,-0.5687049910486403,-0.4619774502035838,-0.4482058831911453,0.1629959781522313,-0.7177636834455615,0.0570289244736729,0.0540149454252481,0.044132881279708,0.8641452213314111,0.3196548732187835,-0.2482029609093151,-0.3962593110410976,0.2748791410279671,-0.0726559429816334,0.5925496870471694,-0.3450837146743729,1.1998388643881956,-0.544543453283902,-0.555975909026968,-0.5982449538572385,-0.5879676703947317,-0.5873756788136282,-0.6165181697858487,-0.5758185676533554,-0.6233721353340665,-0.5961679273525067,-0.6382799767943158,-0.6494005652796269,-0.6230002130245013,-0.6357534030263611,0.4186087356428304,-0.0328112559697906,-0.5154118090309425,-0.5547226441053978,-0.0749421998436951,-0.5876224972967444,-0.2621471558013922,-0.3520627992565268,-0.6322206293427641,-0.3261676032706631,-0.417530290027221,-2.120903206862034,-0.5760755252456053,-0.4515859915830829,-0.4015434480241118,-0.4319526397475559,-0.5206031900865048,-0.4494158309188268,-0.6369595518759953,M_pyr_c,9.0,7.0
M_succoa_c,MNXM1104774,0.7635054972593825,-1.1588250362045396,0.7635054972593825,-0.5731511506589515,-1.307679737983233,0.6478066465336293,0.6940663818754653,0.6478338103919986,0.5414850325829977,0.2766972106716485,-0.6679198050228266,0.3565523701790165,0.6236176079482132,0.0423639010135136,0.0483329436075154,0.0566849927804607,0.9705299895888772,0.0398826702650339,0.6243246974184469,-0.4850305710755537,0.7990322003086616,-0.3846069463404242,0.9790217771368556,-0.3567630783874175,-0.952018000458788,0.8096883595445492,0.5779600604037681,0.4457065172274258,0.5462014281414536,0.5411630770077888,0.3523743704318048,0.6063422509691307,0.3919422197302581,0.7224917533537888,0.2908412904470778,0.6786034116324576,0.2323481512299902,0.7167935331415429,-0.6126967380631593,-0.0328112559697906,0.441242868304117,0.2374086752830339,-0.0464609188822147,0.539479274905978,0.7011862423079124,0.707652627863236,0.4194379793064233,0.8317742719251956,0.992361787051156,0.0695072968368106,0.5670801156793105,1.0048015164360358,1.1491193777456592,1.1655292466723166,0.4181448703266989,-0.8096901938667834,0.4573471969216985,M_succ_c,3.0,11.0
M_fum_c,MNXM737340,-0.5064608101577233,0.6958971628172376,-0.5064608101577233,-0.0282645266245652,0.4317823345868547,-0.6530434526410834,-0.6506232738744256,-0.6530692753532885,-0.6303822145837313,-0.6244391075081969,0.1831113273371019,-0.3931612306197897,-1.012782639990009,0.0405681838551267,0.0326326754269381,0.0235862701921662,-0.7761004677973886,0.2824259714787171,-0.67782236446294,0.3295803530318248,-0.7083484002944974,0.0061051981524144,-0.2644144246037608,-0.2392412229200124,0.860819894864865,-0.6108917468932843,-0.61759585306249,-0.6337183604402967,-0.6608388567061726,-0.6249131520739875,-0.6321838303755233,-0.6891269147953266,-0.6496673804726245,-0.7156770353105053,-0.6512941438127806,-0.7189553843728764,-0.6302125229430273,-0.7052356733479888,0.1862018683288049,-0.0328112559697906,-0.579098894614553,-0.5566829852940093,-0.0733005144690602,-0.6352944227607737,-0.4327763723586479,-0.5048843148532591,-0.5766176349858744,-0.4814630468863801,-0.5646189629904881,-2.120903206862034,-0.6268824426200461,-0.5972247423849947,-0.564771113894614,-0.640319842324061,-0.5700109827398313,-0.4595571142689823,-0.6633731556008171,M_mal__D_c,8.0,2.0
M_mal__D_c,MNXM1608,-0.4397159761947921,0.5161504232589871,-0.4397159761947921,0.7766897518588111,0.7799925965543844,-0.6217351680886312,-0.6205448824186036,-0.6217498698604866,-0.5951380868493936,-0.5503981856932691,0.1707746898852593,-0.3822933028389073,-0.8783295274351322,0.0551999532938345,0.0536494365363881,0.044132881279708,-0.7723402819534715,0.1873991833550161,-0.1405746202906071,-0.0358954483696555,-0.3784142715625288,-0.2840791244431283,-0.3231277524948845,-0.2964400742562023,0.8300416028464778,-0.6028505742816072,-0.5876864560803785,-0.6086397139051697,-0.6362592459041051,-0.6029307124243004,-0.60371989099922,-0.6622783411960425,-0.6080500644758848,-0.6769006403436797,-0.6130688544335139,-0.6832071020013188,-0.6092363940243983,-0.686044901581327,0.2927216825143999,-0.0328112559697906,-0.5477689573516479,-0.5450402709399293,-0.0765864259042896,-0.6113783271076393,-0.3356882316444099,-0.4179287681433557,-0.4721939219301259,-0.4814630468863801,-0.4724664744786611,-0.4096450008473117,-0.6014789839328257,-0.5244053669840388,-0.4831572809593629,-0.5708641081318927,-0.5206031900865048,-0.613919332672481,-0.652736025676298,M_oaa_c,4.0,5.0
M_cit_c,MNXM1107753,-0.2144774785758867,0.0789881058783371,-0.2144774785758867,1.4123638582458102,0.9413718570880352,-0.5226261560732415,-0.5152263319245011,-0.5226330537694392,-0.4982167355799649,-0.5163802753357923,0.1708074708204597,-0.3823221811161313,-0.8165553920237952,0.0405681838551267,0.0345305100421727,0.0264311855735182,-0.770900305732897,0.0732873438009674,0.295873590612898,-0.3911092297162213,0.0499910537718366,-0.5324109068593212,-0.2734050314777629,-0.3382672305441734,1.669247552889218,-0.5232569093133806,-0.4774614084875023,-0.5240436616120812,-0.5533465561047177,-0.5098054378241746,-0.5331026784231157,-0.5956687477676551,-0.5128362964480926,-0.5881864456172681,-0.5271860332451459,-0.6028895061750068,-0.5207985129372884,-0.605134300866883,0.03610576652183,-0.0328112559697906,-0.4586583980874832,-0.5058879564846771,-0.0764811534600041,-0.5168029663028327,-0.1474436817317967,-0.2493303416785829,-0.4212754948097745,-0.3080757624228115,-0.289664726382783,-0.4096450008473117,-0.4998651491839443,-0.3787666161821269,-0.3199296150888607,-0.4319526397475559,-0.4217876047798518,-0.8995239439212789,-0.591320543762728,M_icit_c,2.0,8.5
M_icit_c,MNXM89661,-0.2229655802191719,0.3212380527362276,-0.2229655802191719,1.092094815530085,0.9390103352055826,-0.5226261560732415,-0.5152263319245011,-0.5226330537694392,-0.4982167355799649,-0.543536010044908,0.1705284757611123,-0.3820764011644997,-0.8658682985335435,0.0431006054887492,0.0421218485031112,0.0365464402627695,-0.7720096195193223,0.0850592084180725,0.16836746229035,-0.2953186285729621,-0.0450360822748509,-0.4516699382346518,-0.2904111950725234,-0.3234645204476383,1.5725302548280091,-0.5185919827391319,-0.4792625585588015,-0.5263215571607779,-0.5555791241963133,-0.5054393725731975,-0.5300371075947902,-0.5927771520921585,-0.5271402534557443,-0.6015139722304848,-0.5191119846463397,-0.5953386576692437,-0.5241331086650383,-0.6081850766221989,0.03610576652183,-0.0328112559697906,-0.4586583980874832,-0.4794399889580341,-0.0764811534600041,-0.5168029663028327,-0.1474436817317967,-0.2493303416785829,-0.4165909275732361,-0.3080757624228115,-0.2896647263827829,-0.4096450008473117,-0.4998651491839443,-0.3787666161821269,-0.3199296150888607,-0.4319526397475559,-0.4217876047798518,-0.9271488764497738,-0.5918223628048607,M_akg_c,1.0,8.5
